Strain,Stress_Pa
1.12362035654209e-06,80044.7540145194
2.85214291922975e-06,197499.534916916
2.19598182543422e-06,153246.140963442
1.79597545259111e-06,126096.27037425
4.6805592132731e-07,32679.9553219881
4.67983561008608e-07,34249.9657641175
1.74250836504598e-07,14676.5154899836
2.59852843732481e-06,179853.417018181
1.80334503522963e-06,127519.56619664
2.12421773338814e-06,147839.113854822
6.17534828874073e-08,3851.1298277482
2.90972955648598e-06,201783.213562531
2.49732792240127e-06,174091.152711225
6.37017332034828e-07,44048.7843376115
5.45474901621302e-07,37166.3821134987
5.50213529560301e-07,41504.143796149
9.12726728878613e-07,64733.6457296349
1.57426929489671e-06,111585.305191146
1.29583505592635e-06,90846.2527787149
8.73687420594126e-07,58995.5495498103
1.83555868416714e-06,127513.803317203
4.18481581956126e-07,27749.4494392791
8.76433945605654e-07,60118.7095075504
1.09908552988108e-06,77593.0909250988
1.36820995265111e-06,95848.0228669421
2.35552788417904e-06,164359.212496528
5.99021346475079e-07,41443.4121659434
1.54270331524083e-06,106710.684233853
1.77724370658613e-06,123507.9360575
1.39351238159993e-07,7580.69519036834
1.82263455570432e-06,128916.648490895
5.11572371061875e-07,34418.3627660572
1.95154778955839e-07,14772.563143938
2.84665661176e-06,198979.690367848
2.89689609922368e-06,200165.98190374
2.42519204434938e-06,171588.332270439
9.13841307520112e-07,64216.1541225322
2.93016342019152e-07,19138.3253962089
2.05269907953647e-06,145514.882434806
1.3204574812188e-06,91569.7349064092
3.66114704534336e-07,24595.2086767591
1.48553073033381e-06,106944.234664084
1.03165563345655e-07,7699.26847823066
2.72796120623635e-06,189978.077353789
7.76339944800051e-07,51307.4613888701
1.98756685306195e-06,140408.153276878
9.35133228268233e-07,64834.3017747561
1.56020406353343e-06,106953.90677083
1.64013083802984e-06,114867.182002015
5.54563366576581e-07,41052.7574460845
2.90875388329368e-06,200864.135987004
2.32539847008334e-06,164471.615120061
2.81849682469257e-06,198089.262486885
2.68448205128295e-06,187429.156475127
1.79369993643326e-06,126899.209475212
2.76562270506935e-06,197078.305005065
2.65477506155758e-07,16528.0394599243
5.87948587257436e-07,37859.933074405
1.35681866731614e-07,12090.6853738986
9.75990992289793e-07,68819.6348333895
1.16603186906845e-06,81261.9547786838
8.14047095321688e-07,57134.453420748
2.48621252745579e-06,174937.555700199
1.07025998008077e-06,75576.6934951724
8.42803529062142e-07,62552.1763851618
1.62808824947475e-06,113689.749244677
4.22772674924288e-07,28388.5676399156
2.40659094226212e-06,169159.755842305
2.23651931039312e-07,15457.7773369495
2.96066080980155e-06,207713.278724023
2.31673430788997e-06,161730.167103725
5.96147044602517e-07,39204.0979150692
1.65663513708072e-08,1099.03413146216
2.4463842853645e-06,171924.50693721
2.12057203154285e-06,150148.50278728
2.18702150412296e-06,153081.306048117
2.31381104005784e-06,160951.14566154
2.22133955202271e-07,15284.471853183
1.07539718563282e-06,76870.1810502489
3.47607178575389e-07,24026.931378688
2.58931027762678e-06,182264.14442694
1.86989438048267e-06,130957.066659387
9.92694074557948e-07,67823.2910882442
1.90675050858071e-07,14460.1814495887
9.32946965146987e-07,63450.0785900635
9.75549966080241e-07,68363.4116504948
2.18881853501419e-06,152860.640237378
1.91267241406564e-06,132359.692611696
2.66163822772898e-06,186326.240513935
1.41664477548585e-06,99162.9634361105
3.58782737814905e-07,26828.5170117964
2.13973436166898e-06,151830.644958205
2.28235514585069e-06,160216.44948585
1.68383159270849e-06,117394.331380358
2.31290153986368e-06,162120.060805026
1.48138678909317e-06,104114.189534866
1.56819848814598e-06,109582.275817664
1.28262305507565e-06,90597.5527003664
7.62573802322856e-08,8512.90011199345
3.23674280979913e-07,22254.1057568536
9.42875570602028e-08,9173.15477845822
1.90923123379134e-06,131256.235167288
9.4306794322898e-07,65136.085835832
1.52571207349411e-06,105703.839063954
2.72269942177828e-06,191297.895401983
7.47876687446625e-07,49648.9196376787
1.23114876910689e-06,88558.8418748187
2.26665341562915e-06,160315.668420549
6.86394496474867e-07,49067.3590371804
2.30939729486379e-07,15751.5522720347
8.69254358741304e-07,62393.6212279215
4.83663861762013e-07,34664.4576995216
2.78909295702772e-06,195232.420244125
2.42436113869325e-06,171611.704594989
1.90021126953127e-06,133176.209694575
2.61438177056315e-06,183381.659812115
2.41101623069734e-06,168450.630153408
5.59710176658108e-07,38941.5983898453
2.67767699546993e-06,183905.100173464
1.61802672574695e-06,112604.814920434
2.42232046549219e-06,170373.770818852
2.68827389977048e-06,191645.217167571
9.54010424915592e-07,67967.3628036087
3.3015577358303e-07,23524.838669603
6.83805487625825e-07,48299.5621879409
1.28132336587877e-06,88141.0761108753
2.45404429776748e-06,172714.708734723
2.58219174976903e-06,178503.827056455
2.08563915935721e-08,-323.464908031138
1.5322419077327e-06,108682.740798823
1.25223300944634e-06,86377.3978437701
6.66323431412191e-07,45309.7493012878
3.59596102001048e-07,26418.88972225
1.01284551421088e-06,70037.1086535943
2.82872911173756e-06,194694.907832771
9.69608796062266e-07,65861.9096795225
1.5563718652301e-06,106601.723080916
2.10905687668553e-06,144519.196117431
1.09088880713788e-06,77775.2688218581
2.91534624816288e-06,202784.46821873
2.88734188482633e-06,205688.706311444
7.55346887476092e-07,50613.1657575222
1.49174551767716e-06,104383.086735011
9.02634929450309e-07,64480.6169721816
8.54521483132403e-07,60141.7090591991
1.10660842063598e-07,8287.51374809123
1.82869300193969e-06,129327.632752179
1.50803706968658e-06,104907.8552688
1.54436253749968e-07,10763.8811465605
8.35939392709834e-07,60579.687845294
2.72479765789996e-06,189357.281776546
7.18685672000917e-07,48512.6275605136
4.34684616273669e-07,27960.8150122961
1.46835828083269e-06,103723.664282248
2.9569513623318e-06,206716.372547725
7.26165814534501e-07,47906.3353244146
2.01640664221764e-06,140986.077935016
2.28485884598615e-06,160591.433021607
7.12912631977199e-07,48436.6305300915
2.18464904583558e-06,151389.338954095
1.10334939815776e-06,78066.6403975171
1.89691749178074e-06,134337.727398819
1.90058913228268e-06,133984.471123553
1.60732405222428e-06,113662.048491943
2.70869310163225e-07,18328.2921920045
2.50590748676771e-06,174298.752366369
9.62340194915207e-07,67177.0957810045
5.59555531199563e-07,40527.6583706638
1.22325424664292e-07,8429.15276736842
1.77267882956473e-06,125888.887274523
2.03269308552685e-06,145300.487185304
4.97634867835685e-08,1658.80834891031
1.53627917489784e-06,103246.546676728
6.79487325593814e-07,46915.6116238442
1.93551837122835e-06,134898.156055373
5.23099287014974e-07,34748.2786178789
2.0728132143074e-06,145686.181131334
1.16020603890161e-06,79711.4812885124
2.8101899662102e-06,195315.122779549
4.1256283243798e-07,27349.2305677497
1.02319905315078e-06,73472.4257835097
3.40420563721767e-07,24538.4175746341
2.77408085483569e-06,197225.464566185
2.63201806014294e-06,186093.447877002
7.73824883145467e-07,54147.3889023314
1.97995213810254e-06,137631.30847331
2.45166660060365e-06,170149.432606862
1.66560243479839e-06,115866.269622022
1.58895173506802e-06,112625.435691211
7.25556872701355e-07,48034.2301329966
2.79308303417698e-07,17411.6006560609
2.69164727385998e-06,188565.725520857
2.70125417148999e-06,189730.587078623
1.8993043718198e-06,133472.17957896
1.0170893731461e-06,70662.8726965055
1.04762872383798e-06,75479.9045809733
2.17786703661072e-06,152660.852929394
2.69133077985773e-06,187113.544224395
2.66125927279535e-06,189247.476254479
2.33962663757287e-06,167212.751378171
1.92609493846286e-06,132728.045485687
2.52419894985147e-07,17151.1450922741
4.84886142283841e-07,33847.9678948218
2.69566256558124e-06,186804.255382858
1.81928717897877e-06,129119.279893125
2.75911548498889e-08,619.627589431439
3.04414628598096e-07,22220.4989154461
1.99050530732417e-06,140572.184038487
1.51847515386561e-08,1532.63302953598
4.82424154252496e-07,32177.027380973
1.64620136809976e-06,114616.246821535
2.07568559307808e-06,143653.299523364
1.9558837785078e-06,135811.607791006
6.72807928381679e-07,46453.1102200002
